name,author,description,category,availability,type,image
Dark Matters,Blake Crouch,"In this world he's woken up to, Jason's life is not the one he knows. His wife is not his wife. His son was never born. And Jason is not an ordinary college physics professor,",Science Fiction,3,ebook,
Chasing Vermeer,Blue Balliett,"When a book of unexplainable occurrences brings Petra Andalee and Calder Pillay together, strange things start to happen: seemingly unrelated events connect, an eccentric old woman seeks their company,",Young Adult fiction,3,ebook,
Where the Dead Sit Talking,Brandon Hobson," With his single mother in jail, Sequoyah, a fifteen-year-old Cherokee boy, is placed in foster care with the Troutt family",Young Adult fiction,3,ebook,
"The Lion, The Witch and the Wardrobe: The Chronicles of Narnia",C.S. Lewis,"Most of the novel is set in Narnia, a land of talking animals and mythical creatures that is ruled by the evil White Witch.",Fantasy Fiction,3,ebook,
The Year of Less,Cait Flanders,"Cait Flanders found herself stuck in the consumerism cycle that grips so many of us: earn more, buy more, want more, rinse, repeat. ",Young Adult fiction,3,ebook,
Anyone but Ivy Pocket,Caleb Krisp,"Ivy Pocket is a twelve-year-old maid of no importance, with a very lofty opinion of herself. ",Adventure fiction,3,ebook,
The Dragons of Eden,Carl Sagan,"Author combines the fields of anthropology, evolutionary biology, psychology, and computer science to give a perspective on how human intelligence may have evolved",Science,3,ebook,
Mindset: The New Psychology of Success,Carol Diveck,"After decades of research, world-renowned Stanford University psychologist Carol S. Dweck, Ph.D., discovered a simple but groundbreaking idea: the power of mindset",Self-help,3,ebook,
The Power of Habit,Charles Duhigg, It explores the science behind habit creation and reformation.,Self-help,3,ebook,
The City and The City,China Miebrille,"follows a wide-reaching murder investigation in two cities that occupy the same space simultaneously, combining weird fiction with the police procedural.",Fantasy Fiction,3,ebook,
Things Fall Apart,Chinua Achebe, It depicts pre-colonial life in the southeastern part of Nigeria and the invasion by Europeans during the late 19th century.,Historical Fiction,3,ebook,
Super-Soaking Stream of Inventions,Chris Barton,"Celebrate the inventor of the Super Soaker in this inspiring picture book biography about Lonnie Johnson, the maker behind one of the world's favorite toys.  ",Biography,3,ebook,
